game,move,white,black,san,uci,depth,score_cp,nodes,time_ms,link,cpl,is_white
1,33,ArturBK,BLR4region,Qe3,f3e3,18,-1032,2360891,1438,https://lichess.org/SnLBgRhj,154,True
1,34,ArturBK,BLR4region,Ne4,f6e4,18,-270,986386,973,https://lichess.org/SnLBgRhj,730,False
1,35,ArturBK,BLR4region,Nc3,b1c3,18,-792,375856,287,https://lichess.org/SnLBgRhj,522,True
1,36,ArturBK,BLR4region,Nxc3,e4c3,18,-758,882989,691,https://lichess.org/SnLBgRhj,34,False
1,37,ArturBK,BLR4region,bxc3,b2c3,18,-823,1498181,1119,https://lichess.org/SnLBgRhj,65,True
1,38,ArturBK,BLR4region,Ne2+,d4e2,18,-819,1311612,895,https://lichess.org/SnLBgRhj,4,False
1,39,ArturBK,BLR4region,Kh1,g1h1,18,-776,1788152,1422,https://lichess.org/SnLBgRhj,0,True
1,40,ArturBK,BLR4region,Nxf4,e2f4,18,-807,1330941,950,https://lichess.org/SnLBgRhj,0,False
1,41,ArturBK,BLR4region,Qxf4,e3f4,18,-810,2088028,1611,https://lichess.org/SnLBgRhj,3,True
1,42,ArturBK,BLR4region,Bh6,f8h6,18,-267,1335137,1400,https://lichess.org/SnLBgRhj,543,False
1,43,ArturBK,BLR4region,Qg3,f4g3,18,-708,1306796,921,https://lichess.org/SnLBgRhj,441,True
1,44,ArturBK,BLR4region,Qf6,e7f6,18,-338,954746,999,https://lichess.org/SnLBgRhj,370,False
1,45,ArturBK,BLR4region,f4,f2f4,18,-578,534648,495,https://lichess.org/SnLBgRhj,240,True
1,46,ArturBK,BLR4region,Rdg8,d8g8,18,-622,4288412,3925,https://lichess.org/SnLBgRhj,0,False
1,47,ArturBK,BLR4region,Qf3,g3f3,18,-664,1604407,1375,https://lichess.org/SnLBgRhj,42,True
1,48,ArturBK,BLR4region,Bf8,h6f8,18,-707,4071038,3343,https://lichess.org/SnLBgRhj,0,False
1,49,ArturBK,BLR4region,Rae1,a1e1,18,-725,1142732,843,https://lichess.org/SnLBgRhj,18,True
1,50,ArturBK,BLR4region,Qh4,f6h4,18,-91,385607,396,https://lichess.org/SnLBgRhj,634,False
1,51,ArturBK,BLR4region,Re8+,e1e8,18,-84,356496,353,https://lichess.org/SnLBgRhj,0,True
1,52,ArturBK,BLR4region,Ka7,b8a7,18,-65,926453,955,https://lichess.org/SnLBgRhj,19,False
1,53,ArturBK,BLR4region,Qe3+,f3e3,18,-541,211176,200,https://lichess.org/SnLBgRhj,476,True
1,54,ArturBK,BLR4region,b6,b7b6,18,-517,881596,865,https://lichess.org/SnLBgRhj,24,False
1,55,ArturBK,BLR4region,Qg1,e3g1,18,-784,1646158,1077,https://lichess.org/SnLBgRhj,267,True
1,56,ArturBK,BLR4region,Bc5,f8c5,18,-780,1620862,1185,https://lichess.org/SnLBgRhj,4,False
2,1,xq54,ArturBK,e4,e2e4,18,56,947597,1185,https://lichess.org/LREDvFSY,0,True
2,2,xq54,ArturBK,c5,c7c5,18,48,634465,736,https://lichess.org/LREDvFSY,0,False
2,3,xq54,ArturBK,Nf3,g1f3,18,51,1253176,1582,https://lichess.org/LREDvFSY,0,True
2,4,xq54,ArturBK,d6,d7d6,18,59,642739,760,https://lichess.org/LREDvFSY,8,False
2,5,xq54,ArturBK,d4,d2d4,18,64,471081,577,https://lichess.org/LREDvFSY,0,True
2,6,xq54,ArturBK,cxd4,c5d4,18,50,832122,1057,https://lichess.org/LREDvFSY,0,False
2,7,xq54,ArturBK,Nxd4,f3d4,18,46,1670809,2074,https://lichess.org/LREDvFSY,4,True
2,8,xq54,ArturBK,Nf6,g8f6,18,44,1095929,1370,https://lichess.org/LREDvFSY,0,False
2,9,xq54,ArturBK,Nc3,b1c3,18,31,1102134,1414,https://lichess.org/LREDvFSY,13,True
2,10,xq54,ArturBK,Nbd7,b8d7,18,101,963039,1169,https://lichess.org/LREDvFSY,70,False
2,11,xq54,ArturBK,Bd3,f1d3,18,36,1667084,2102,https://lichess.org/LREDvFSY,65,True
2,12,xq54,ArturBK,a6,a7a6,18,32,1525571,1879,https://lichess.org/LREDvFSY,0,False
2,13,xq54,ArturBK,O-O,e1g1,18,31,925829,1142,https://lichess.org/LREDvFSY,1,True
2,14,xq54,ArturBK,Qc7,d8c7,18,113,399428,463,https://lichess.org/LREDvFSY,82,False
